,ID,Name,Rating,Delivery,Price Tier,Tips,Location,Price,Credit Cards,Outdoor Seating,Wi-Fi,Lunch,Dinner,Happy Hour,Wine,Full Bar,Cocktails,Reservations,Brunch,Beer,Breakfast,Bar Service,Restroom,TVs,ATM,Private Room,Dessert,Music,Live Music,BYO,Street Parking,Public Lot,Wheelchair Accessible,Bar Snacks,Tasting Menu,Take-out,Private Lot,Coat Check,No,Parking,Jukebox
0,4ab2ac0bf964a520d66b20e3,Del Frisco's Double Eagle Steak House,8.7,True,4.0,"[""Over the top and that's what I love about it. Somm Henry Greenly is great. Winner of the Sommelier Smackdown!"", 'The building used to be a bank.  The downstairs dining room is an old vault.']","['19102', 39.9509564, -75.1654591]",$$$$,Yes (incl. Discover & Visa),No,Yes,Lunch,Dinner,Happy Hour,Wine,Full Bar,Cocktails,,,,,,,,,,,,,,,,,,,,,,,,
1,4a281e64f964a520f4941fe3,Oyster House,9.3,False,3.0,"['Miss the crowd by dining at Saturday brunch. The menu changes regularly, but the impeccable service and the sweet, meaty lobster roll always stay the same.', ""Don't have a clue what to order? How about the authentically Yankee lobster roll or the meaty, filler-free crabcake? They are both outstanding.""]","['19102', 39.95041501026734, -75.16653292910065]",$$$,Yes (incl. American Express),No,,Lunch,Dinner,Happy Hour,Wine,Full Bar,Cocktails,No,Brunch,Beer,,,,,,,,,,,,,,,,,,,,,
2,56cc831ccd10c5927d30dc1d,Snap Custom Pizza,8.8,True,1.0,"['The pizzas are all good. I like that they are the right size for a lunch or dinner.', 'Décoration usine/manufacture, les pizzas sont délicieuses et à un prix raisonnable.. attention ils ne prennent pas le cash (uniquement carte de crédit) !!']","['19102', 39.95041780860292, -75.16615225612854]",$,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4af2d4cef964a520a9e821e3,The Capital Grille,8.5,False,4.0,"['Try the ""Sushi-Grade Seared Tuna With Gingered Rice""...It\'s simply delicious!The tuna is perfectly cooked and it melts in your mouth!', ""They've got a wine list with more than 400 choices and substantial steaks dry-aged on the premises.""]","['19107', 39.95071559112756, -75.16394206082474]",$$$$,Yes (incl. Discover & Visa),No,Yes,,Dinner,,Wine,Full Bar,Cocktails,,Brunch,,,,,,,,,,,,,,,,,,,,,,
4,4a4268fdf964a520d4a51fe3,Fogo De Chão,8.8,False,4.0,"['Starve yourself before going here and then eat greedy.', 'Eat till you die']","['19107', 39.9509166, -75.1629711]",$$$$,Yes (incl. Discover & Visa),No,Yes,Lunch,Dinner,,Wine,,Cocktails,Yes,,Beer,,,,,,,,,,,,,,,,,,,,,
5,57acea9ecd10a4c4bb5521b4,Mission Taqueria,8.9,False,1.0,"['Drinks were decent, favorite was the mission old fashioned; fun open environment, however was  almost too busy with multiple large groups', ""I loved everything. Mahi Mahi tacos were a winner, also the empanadas are the best I've had. Guava spicy margarita was delicious""]","['19102', 39.950389021762504, -75.16650396969168]",$,,,,Lunch,Dinner,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,594444b1c9f90745a2d578d0,sweetgreen,8.2,True,1.0,"['Order ahead of time on the app to avoid the inevitably long lines during lunchtime', 'The New York chain is better as it has more flavours but this does the job.']","['19103', 39.9530218, -75.1675084]",$,,,,Lunch,Dinner,,,,,,,,Breakfast,,,,,,,,,,,,,,,,,,,,
7,5852d6aad21e030e68cb5512,HipCityVeg,8.7,True,2.0,"['The Philly Cheese Steak was delish!', ""You can barely believe you're not eating meat! And the fries are so good!! Shakes are yummy too.""]","['19107', 39.950343404130734, -75.16404577670967]",$$,,,,Lunch,Dinner,,,,,,Brunch,,,,,,,,,,,,,,,,,,,,,,
8,57fec49b498e6325d895f5ad,Harp & Crown,8.7,False,3.0,"[""All the food was fantastic and very good quantities. The place is very cool and lively and the cocktails are also really good. You don't need to order the tasting menu as it would be too much food."", 'A little overpriced but the food was tasty and the drinks were unique!']","['19102', 39.9505301, -75.1668181]",$$$,Yes,No,,,Dinner,,Wine,,,,Brunch,,,,,,,,,,,,,,,,,,,,,,
9,58dfcd730e0a1e6dd8c6377f,Goldie,8.6,False,,"['Tehina shakes are delicious, try the banana one!', 'Delicious falafel but my favorite menu item is their tahini milkshakes. Must try!']","['19102', 39.95042549741051, -75.16685017968908]",,,,,Lunch,Dinner,,,,,,Brunch,,,,,,,,,,,,,,,,,,,,,,
10,4be0674298f2a5935a21c25a,Amuse at Le Meridien,8.0,False,3.0,"['Modern French cuisine in a matchingly modern setting, complete with fresh baguette! Oh, and the kitchen cures all of its charcuterie meats. What else can we say other than mmmmmmmmmmmmmais oui?', 'Breakfast is hit & miss. Come here for the view outside and the airy interior.']","['19102', 39.954303678615744, -75.16429148186037]",$$$,Yes (incl. Discover & Visa),No,,,Dinner,,Wine,Full Bar,Cocktails,Yes,Brunch,Beer,,Bar Service,Yes,Yes,Yes,,,,,,,,,,,,,,,,
11,5de8a3a64760750008d96189,Wawa,8.0,False,1.0,,"['19102-2522', 39.95168384547888, -75.16698181629181]",$,Yes,,,Lunch,,,,,,,Brunch,,Breakfast,,,,,,,,,,,,,,,,,,,,
12,53e51a4a498e1e9714dc7c36,Dizengoff,9.2,False,2.0,"['The hummus is outstanding and the pita bread is very fresh. This is a great lunch spot.', 'If Zahav had a funky teenager, Dizengoff would be it. INCREDIBLE hummus, colorful decor. Perfect for a snack; get a plate of hummus (comes with a couple other goodies and a pita) to split with a pal!']","['19103', 39.95071550302768, -75.16836116134685]",$$,Yes,No,,Lunch,Dinner,,,,,No,Brunch,,,,,,,,,,,,,,,,,,,,,,
13,4fcaafc1e4b08a3652e7443e,honeygrow,8.5,True,1.0,"['I waited 40 mins for chicken sesame stir fry. What I got had neither sesame or chicken. It was some vegan dump in a box. I paid $12 for bitter disappointment..', 'You gotta try the stir fry with the five spice BBQ!!!']","['19102', 39.9507231094413, -75.16750087384719]",$,Yes (incl. Discover & Visa),No,Free,Lunch,Dinner,Happy Hour,,,,No,Brunch,,Breakfast,,,,,,,,,,,,,,,,,,,,
14,4a980e63f964a520432a20e3,Five Guys,7.9,False,2.0,"['Only 6,000 calories', ""Love the burgers and fries. Don't like the calorie count.""]","['19102', 39.9512973, -75.1665774]",$$,Yes (incl. Discover & Visa),No,,Lunch,Dinner,,,,,No,Brunch,,,,,,,,,,,,,,,,,,,,,,
15,50698074e4b0913fe366282d,Federal Donuts,8.9,False,2.0,"['The ""fancy"" donuts are inventive, the ""hot fresh"" are always right out of the fryer, and the chicken is unbelievable. Impossible to leave unhappy.', 'The chicken comes with a hot fresh donut (I went with the honey ginger, which was excellent).  Grab a window seat if you can to enjoy both your chicken and donut.']","['19103', 39.950640443291896, -75.16821231523637]",$$,Yes,No,,,,,,,,No,Brunch,,Breakfast,,,,,,,,,,,,,,,,,,,,
16,52125e19dae2f034df3d7c6a,Ocean Prime,8.3,False,3.0,"['Try the chocolate peanut butter torte!!!', 'Bubbles and Berries!! The waiter was awesome! He walked us through the menu and was very helpful! Great Service. Good Food']","['19102', 39.9501744, -75.1659315]",$$$,Yes (incl. American Express),No,,,Dinner,Happy Hour,Wine,Full Bar,Cocktails,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,
17,55a0243c498e3ac24211250a,DanDan 担担食府,8.6,False,1.0,"[""Good but not the best. However if you're there, order the Dan Dan noodles."", ""The Cumin dish stands apart.  I hope you don't hate cumin.""]","['19102', 39.95024793731709, -75.16740847253556]",$,Yes,No,Yes,Lunch,Dinner,Happy Hour,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,
18,545d297d498e4fdeb5ad5271,Gran Caffe L'Aquila,9.0,True,3.0,"['Pistachio Gelato', ""The best gnocchi I've ever tried and the gelato is amazing! Plenty of wine to choose from.""]","['19103', 39.951727725547904, -75.16939016959759]",$$$,Yes (incl. Discover & Visa),Yes,Free,Lunch,Dinner,,Wine,Full Bar,Cocktails,Yes,,Beer,,,,,,,Dessert,,,,,,,,,,,,,,
19,49ac4499f964a520ae521fe3,Butcher and Singer,9.0,True,4.0,"['What to get: The dry-aged Gachot & Gachot porterhouse for two (even if you’re just one). The decadent stuffed hashed brown. The creamed spinach. A personal trainer.', 'The Butcher Manhattan is by far the best manhattan I have ever had.   Bulleit,dolin sweet vermouth , Vermont maple syrup & Aztec chocolate!   Omg delicious!']","['19102', 39.9493338, -75.1661758]",$$$$,Yes (incl. American Express & MasterCard),No,,Lunch,Dinner,Happy Hour,Wine,Full Bar,Cocktails,,,,,,,,,,,,,,,,,,,,,,,,
