,ID,Name,Rating,Delivery,Price Tier,Tips,Location,Price,Reservations,Credit Cards,Outdoor Seating,Wi-Fi,Breakfast,Brunch,Lunch,Dinner,Dessert,BYO,Full Bar,Cocktails,Happy Hour,Beer,No,Street Parking,Restroom,Jukebox,Take-out,Public Lot,Wheelchair Accessible,Tasting Menu,ATM,TVs,Private Room,Live Music,Wine,Music,Coat Check,Parking,Bar Snacks,Bar Service,Private Lot
0,4d41f0e6aed776eb1bb86997,Domino's Pizza,6.1,False,1.0,['Really slow service. Employees seemed lost'],"['19134', 39.99243878961336, -75.10048019949461]",$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4e4e2911bd4101d0d7a3a581,Taco Bell,6.0,False,1.0,,"['19134', 39.99249267578125, -75.09800720214844]",$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4bd8c67fe914a5933d7c54fa,IHOP,5.9,False,2.0,"['I love serving my regulars!! Sometimes being a server Means changing stomachs !!!! Shout outs to the people that love my serving skills Jay', 'The Service was great and the hashbrowns looked like the picture!']","['19134', 39.99217114039244, -75.10007589459403]",$$,No,Yes (incl. Discover & Visa),No,Free,Breakfast,Brunch,Lunch,Dinner,Dessert,,,,,,,,,,,,,,,,,,,,,,,,
3,4c6a85f8c946e21e4ddaec8e,Dunkin',6.1,False,1.0,,"['19137', 39.99612264972522, -75.0928692519351]",$,,Yes,No,No,Breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4d8d2743d4ec8cfabcb75289,One Pound Cheese Steak,6.1,True,2.0,"['Best cheesesteak! Better than Genos and Pats 👍👌', 'Nice place and good food. A few P.W.I (people with issues) but the staff and service were ok.']","['19125', 39.98977539009226, -75.12537943434114]",$$,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,4b6997aff964a520cda82be3,Boston Market,6.0,True,2.0,"['No veggie option!!!!!! Had to ask to take the chicken off the Mediterranean sandwich and they charged same price. Not sure if this is the right place for veggie lovers.', 'Love the sweet potato!']","['19134', 39.99464517632344, -75.09525412566063]",$$,,Yes (incl. Discover & Visa),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4cb716b386e09eb0dcac62e2,Dunkin',5.6,False,1.0,"[""By at least 10pm and after, they don't have much of anything. But the coffee is good."", 'Good coffee, just need need to stop showing attitudes and cursing in front of customers..']","['19134', 39.99591759615822, -75.11250809991316]",$,,Yes,,,Breakfast,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,4c9fd24c8afca09377ac0d16,4 Sons Pizzeria,,True,1.0,,"['19134', 39.995715000000004, -75.114395]",$,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4ec9493f0aaf9c3cce79c5a6,Pizza Villagio Cafe,,False,1.0,['Fried ravioli app is BAAAAAANGING!!'],"['19134', 39.98542641549984, -75.10709763855222]",$,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4a6b776cf964a520b9ce1fe3,Joe's Steaks + Soda Shop,8.7,True,2.0,"['Be here on “Wacky Wednesday.” A large cheesesteak is only $6.', 'sketchy area, great steaks']","['19135', 40.01839918227719, -75.0579683219458]",$$,No,Yes (incl. American Express),No,Yes,,Brunch,Lunch,Dinner,,,,,,,,,,,,,,,,,,,,,,,,,
10,4c6814cae1da1b8d16229fc3,Primo Hoagies,8.4,False,1.0,"['If you like spicy, get the chicken diablo', 'Awesome hoagies']","['19135', 40.03096570577236, -75.05482427316565]",$,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4b6881d9f964a520c87c2be3,Montesini Pizza,8.2,True,1.0,"['Get the stuffed pizza!', 'Great pizza!! Friendly owners. They do a lot for the neighborhood']","['19135', 40.029629886345084, -75.05805537322485]",$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4c122cdc77cea5937081cc60,Haegele's Bakery,7.6,False,1.0,"['Great bakery but get there early for the best pickins!', 'Bitter cake... 😊']","['19135', 40.02634399635262, -75.0571560432868]",$,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4bb1280ff964a520217f3ce3,Philomena Santucci's Square Pizza,8.7,True,1.0,"['If ups ron comes in piss in his pizza', 'Always ❤️coming back here!! 🍕🍕🍕🍕🍕']","['19135', 40.03616546525635, -75.04050036374656]",$,No,Yes (incl. Discover & Visa),No,Free,,,Lunch,Dinner,Dessert,BYO,,,,,,,,,,,,,,,,,,,,,,,
14,4b36487bf964a520273225e3,Gino's Pizza Cafe,9.2,False,1.0,"['Always tip your drivers!', 'The tomato pie is the best I’ve tried . The sauce has a slight tang and instead of mozzarella it has provolone']","['19136', 40.03746, -75.03978]",$,Yes,Yes (incl. American Express & MasterCard),No,,,,Lunch,Dinner,,,Full Bar,Cocktails,,,,,,,,,,,,,,,,,,,,,
15,4c2b4489d1a10f47659ff764,Little Pete's Steaks,7.5,False,1.0,"['Scrapple egg and cheese wiz on a long roll.  Gotta do it!!!', 'everything i love the cheesesteak hoagies']","['19135', 40.02025727780189, -75.042350933734]",$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
